beatmap_id,approved,submit_date,approved_date,last_update,artist,set_id,bpm,creator,creator_id,stars,diff_aim,diff_speed,cs,od,ar,hp,drain,source,genre,language,title,length,diffname,file_md5,mode,tags,favorites,rating,playcount,passcount,circles,sliders,spinners,maxcombo,storyboard,video,download_unavailable,audio_unavailable,beatmap_id,pack_id
403050,1,2011-09-09 10:39:39,2014-05-30 10:02:21,2014-05-23 09:47:53,Mitsunori Ikeda ft. Aimee B,36319,176,galvenize,381444,5.5319,2.74156,2.55685,4,7,9,6,339,Panty & Stocking with Garterbelt,10,2,Fallen Angel (El Poco Maro Remix),350,Ascension,57694484d24cdbedbf78b8ae346885a9,0,dnb drum and bass,-1,9.71889,1648875,215366,1120,432,1,2097,1,0,0,0,403050,S902
411280,1,2014-04-26 06:17:32,2014-07-07 07:02:12,2014-06-30 06:51:46,"Wake Up, Girls!",169866,180,Fycho,1876867,5.38776,2.63367,2.53937,4,7,9,6,301,"Wake Up, Girls!",3,3,7 Girls War,301,Wake Up,7802ad37de0395fb62933801e4b998be,0,opening full size mayu shimada airi hayashida minami katayama yoshino nanase nanami hisami kaya kikuma miyu okamoto,-1,9.6962,224477,28684,850,403,3,1673,0,0,0,0,411280,S903
412288,1,2013-06-22 19:19:07,2014-05-27 18:22:14,2014-05-20 18:04:01,Halozy,100348,183,Hollow Wings,416662,6.90936,3.6621,2.93771,4,8,9,6,304,Touhou,2,3,Sentimental Skyscraper,327,Myouren Hijiri,5fa4a5de6f19dc2d04779cbb37307e9f,0,aqua trytone hotaru kanshou no matenrou emotional skyscraper cosmic mind hijiri byakuren ts8zs,-1,9.29904,800213,59192,1132,383,3,2148,1,0,0,0,412288,S902
413071,1,2014-04-28 10:47:22,2014-05-23 15:42:52,2014-05-16 15:09:40,ClariS,170653,85,Andrea,33599,2.72675,1.38289,1.27153,4,6,7,6,317,,5,3,flowery,319,Memories,3554f0f4202eba6a3271465e6562555a,0,alice clara kz livetune birthday collab collaboration osuplayer111 alacat gero momochikun samah,-1,9.41667,34800,6856,318,313,2,970,0,0,0,0,413071,S902
413597,1,2014-04-29 15:12:04,2014-06-26 22:02:12,2014-06-19 07:40:23,Dark PHOENiX,170913,218,sjoy,1514083,5.97416,2.79933,2.92361,4,8,9.3,6,316,Touhou,2,5,Green-Eyed Jealousy,317,Envy,63f43263b032acfeafb4aa30e3e5e854,0,arrow realize mizuhashi parsee zun chenwu,-1,9.74239,1184438,103554,793,653,3,2159,0,0,0,0,413597,S903
416491,1,2014-05-04 14:42:01,2014-06-18 17:22:15,2014-06-11 00:21:20,Foreground Eclipse,172292,164,keeeeeeko,1603608,4.78,2.43512,2.11458,4,8,9,8,317,ひぐらしのなく頃に解,3,3,Noble,323,Dear you,b11d37f41a66de2fa6738346c071aad8,0,めらみぽっぷ meramipop merami teto each and every word leaves me here alone higurashi no naku koro ni kai thanks/you you 07th expansion dai c81,-1,9.59897,451780,66472,580,316,1,1442,1,0,0,0,416491,S903
419551,1,2014-05-10 02:46:34,2014-07-16 05:42:15,2014-07-09 03:47:35,OctagonCollaboration,173650,182.5,Charles445,85000,5.74574,2.59363,2.89153,4,7,9,6,603,,7,2,8 Sides of Nico Nico Douga,694,Marathon,83a6660e3fa67f81da943e351f215484,0,しも 7 colors of nico nico douga medley nanairo seven prismatic elmo sesame street marathon hey i'm jack black hij octagon mad youtube poop ytp ytpmv black rock shooter heavenly star do-dai minagittekita under my skin night of nights knights dancing samurai sand canyon sky high pop star got the groove a septette for the dead princess bad apple ora tokyo sa igu da rainbow girl starry sky hello windows saikyou pare-parade sora celluloid disappearance of hatsune miku lion macross frontier seikan hikou hihon no mikata nevada no mikata promise tamashii no rufuran world is mine beloved tomboyish girl town vegetable juice popipo remilia's theme touhou the solar tribe ponyo on the cliff by the sea hakatanoshio smooooch double lariat tewi! eientewi! meltdown ojamajo carnival aoku moeru honoo hammer melody red zone don't say lazy reach out to the truth shinobue prohibition symptom geddan get down,-1,9.65217,462836,32276,1308,983,10,3939,0,1,0,0,419551,S903
425992,1,2014-04-14 11:44:25,2014-06-25 05:22:16,2014-06-17 16:31:02,MitiS,165973,174,Katty Pie,1367296,4.95619,2.54505,2.18403,4,8,9,7,364,,10,5,Elements of Thought (Original Mix),407,Thoughts,2923c30a231881529a2da3d636b4cc1b,0,drum and bass dnb natsu influential past,-1,9.49596,184899,19134,717,458,2,2080,1,0,0,0,425992,S903
429694,1,2014-05-25 20:09:24,2014-07-06 20:22:15,2014-06-29 20:01:22,EastNewSound,178646,168,Vass_Bass,188248,4.91566,2.35341,2.36388,4,7,9,7,357,,10,3,Futarigoto,378,Marathon,fc221f4885bc96dfd561415b1da80146,0,the two of us yura hatsuki kokuchou uncanny instinct dnb,-1,9.52814,171616,27370,530,496,7,1616,0,1,0,0,429694,S903
432095,1,2014-05-30 12:07:39,2014-07-03 08:22:13,2014-12-03 14:58:57,ChouCho,179756,167,Fycho,1876867,5.17595,2.56846,2.39077,4,7,8.8,7,771,,5,3,Songs Compilation,861,Marathon,ae25023f93824d2fa77ba21e8c6ded0a,0,-google- troogle カワルミライ kawaru mirai sleeping butterfly authentic symphony 虹の朝に niji no asa ni kagami 夕日ヶ丘 yuuhi ga oka ハルモニア harmonia dramatic daydream 優しさの理由 yasashisa no riyuu 木漏れ日色の記憶 komorebi iro no kioku 青空の鼓動 aozora no kodou dreamriser life is blue back 空とキミのメッセージ sora to kimi no message cocoon my dear friend happy fate million of bravery starlog hanatan anime 神様のメモ帳 kamisama no memo chou ましろ色シンフォニー mashiro iro symphony -the color of lovers- 英雄伝説 空の軌跡 eiyuu densetsu: sora no kiseki the animation 氷菓 hyouka ガールズ&パンツァー girls und panzer 翠星のガルガンティア suisei no gargantia バディ・コンプレックス buddy complex 未来日記 mirai nikki fate/kaleid liner プリズマ☆イリヤ prisma☆illya,-1,9.46765,84694,5809,1695,961,4,3675,1,0,0,1,432095,S903
442905,1,2014-06-18 22:56:06,2014-07-13 04:02:13,2014-07-06 03:40:07,Various Artists,185177,166.25,Andrea,33599,4.60356,2.19089,2.22834,4,7.5,8.5,7,909,,10,2,Nightcore Mix Compilation,939,Marathon,1045845636e86a3d5a28cf58a6e9cc32,0,osuplayer111 remix gero highland solo rollergirl superstar camilot amore you got dancing bimba hey now usura and datura infinity molella love last forever stefy nrg it's its fable baracuda where the alex feat yasmin angel darkness astroline close eyes isabel will heart survive tune bounce cascada ready for again dangerous baby alice pina colada boy truly madly deeply kat deluna busta rhymes run show getter jaani rockefeller street snyder ray together spyne pippo palmieri deep soul christmas melanie flash one million fantasy project dam dadi doo jan wayne scarlet touch myself allstar featuring naz bermuda loverz girl belle lovers lawrence bad day digital sexy til until death yamboo feelings tronix with,-1,9.3479,1263139,76290,1761,1010,11,4053,1,0,0,0,442905,S903
353033,1,2014-01-11 01:45:24,2014-05-13 12:22:39,2014-05-06 10:12:25,ave;new,141592,130,Laurier,700010,5.97116,2.99966,2.71153,4,7,9,5,843,,2,3,Songs Compilation,966,Extra,addeb2c1da43289b4b521a26dcba1033,0,"あべにゅうぷろじぇくと project sakura saori 佐倉紗織 shirazawa rie 白沢理恵 a.k.a.dress chouetsu koi shite naishomea!! oo shuwashuwahalation! oo mugendai lovers graceful anomaly octave rain breezy kiss iris sugar ripple love vise my sweet lady pure my voices just be with you piste smile non-stop!! ichaicha ritual!! awayuki shokuzai belladonna baby keep it love -sweety overtone ""memorize pist*dream never give up!! ~otome no kakugo sengen~ koiwa dou? moro hadou ok * houteishiki!! nagoya keirin",-1,9.06028,126276,6269,1702,1474,9,5088,1,0,0,0,353033,S902
389348,1,2014-03-22 16:01:10,2014-05-21 10:22:13,2014-05-14 09:59:58,TRakker,159325,178,Amamiya Yuko,873961,5.53204,2.65121,2.6459,4,8,9,5,444,,10,3,Rootus,475,Remix,531fecc3270584752b3cb6564745b664,0,taishi aoba ringo 青葉りんご gwave somersault drum and bass dnb clubsound project skystar,-1,9.5897,290942,36727,1024,622,4,2347,0,0,0,0,389348,S902
389398,1,2014-03-22 17:37:31,2014-07-15 19:02:19,2014-07-08 18:43:23,Dzeko & Torres,159357,129,Aleks719,360176,3.89443,1.86046,1.8724,4,7,8,7,621,,10,2,2013 In 10 Minutes,639,Marathon,836c7c2972556d0d317ecbed7fe16961,0,house trance electro progressive remix acapella instrumental calvin harris ellie goulding need love nicky romero alesso one republic lose myself lana del rey young beautiful kaskade symphonica burn tiesto steve angello matisse sadko slvr sebjak marcus schossow liceu krewella legacy arno cost chasing r3hab quintino atmosphere moguai dimitri vegas like mike mammoth hard rock sofa rasputin summertime sadness david guetta glowinthedark fatboy slim eat sleep rave repeat thomas newson new world sound flute knife lrad tommy trash aston shuffle sunrise gta henrix digital lab hit it showtek get loose martik garrix animals zedd lucky date fall into the sky alive dannic clobber wakanda deorro yee tjr suckaz don diablo matt nash starlight chuckie down this w&w ummet ozcan code hardwell makj countdown dvbbs borgeous tsunami avicii aloe blacc wake party axwell center universe capital cities safe booyah armin van buuren trevore guthrie what feels dyro paradise apollo clarity alvaro mercer lil jon,-1,9.29091,2685352,345688,800,625,15,2277,0,0,0,0,389398,S903
