beatmap_id,approved,submit_date,approved_date,last_update,artist,set_id,bpm,creator,creator_id,stars,diff_aim,diff_speed,cs,od,ar,hp,drain,source,genre,language,title,length,diffname,file_md5,mode,tags,favorites,rating,playcount,passcount,circles,sliders,spinners,maxcombo,storyboard,video,download_unavailable,audio_unavailable,beatmap_id,pack_id
599419,1,2015-01-15 14:38:10,2015-02-17 16:20:33,2015-02-09 10:33:15,fripSide,262697,90,KaedekaShizuru,2248417,3.09518,1.52064,1.45564,4,6,7,6,358,Areas～空に映すキミとのセカイ～,2,3,piece of azure,358,Naozora,c936528865ffc2f7b9d2a7a5782005a2,0,areas sora ni utsusu kimi to no sekai eroge galgame nao lapis lazuli original soundtrack,-1,9.29293,24431,5113,362,421,3,1278,1,0,0,0,599419,SA18
633965,1,2015-02-07 22:58:31,2015-03-17 17:00:14,2015-03-10 16:27:16,Venetian Snares,280089,200,fergas,3144542,6.07946,2.73687,3.09001,4.3,8,9.3,6,364,,10,5,Integraation,393,Lost,0475d42b9837c3cd344259cab0649588,0,my downfall original soundtrack aaron funk classical marathon,-1,9.59809,77946,8557,1271,546,6,2783,1,0,0,0,633965,SA18
633993,1,2015-02-07 23:14:16,2015-04-10 21:20:14,2015-04-03 12:06:03,gmtn. (witch's slave),280107,155,Alumetorz,1145984,7.64132,3.8541,3.50321,4.2,8.5,9.6,5.8,305,BMS,10,5,furioso melodia,312,Wrath,11e49aa9202f432d68fb0ae6adab9cbe,0,of fighters 2010 bof gumtune lr2 gothic hardcore extended ver version,-1,9.7292,4746287,214458,1151,519,1,2325,1,0,0,0,633993,SA19
638821,1,2015-02-11 14:13:43,2015-03-12 14:40:15,2015-03-05 14:22:54,"3L, mariapolo",282487,164,Xinely,1521445,5.54653,2.75402,2.57658,4,8,9,6.5,315,東方Project,2,2,WARNING!,321,Lunatic,d30adaf74b11672a595cb5dd50a372d8,0,touhou project euro flash vol.2 volume 2 p_a_n pan marathon dj command njk record 霊知の太陽信仰 reichi no taiyou shinkou nuclear fusion 東方地霊殿 chireiden,-1,9.6673,384065,36456,1050,476,3,2061,0,0,0,0,638821,SA18
643157,1,2015-02-14 23:09:36,2015-03-14 20:40:14,2015-03-07 20:20:01,Mitose Noriko,284655,170,Pho,3624692,5.73642,2.90354,2.5893,5,8.5,9,7,368,聖エステラ学院の七人の魔女,2,3,The Party of Seven Witches,405,Walpurgisnacht,5bcaea56aeffe029c97720253dcd2a4d,0,taishi dubstep electro.muster electro.sinker gwave astronauts アストロノーツ cent estella gakuin no shichinin majo,-1,9.69063,188496,18087,893,566,4,2101,0,0,0,0,643157,SA18
246397,1,2013-04-29 04:45:29,2015-04-05 00:00:14,2015-03-28 23:21:54,goreshit,90930,171,grumd,530913,6.05988,2.72144,3.11625,4,8,9,5,575,,6,5,semantic compositions on death and its meaning,681,Mortem Sensum,6ca810365a9c17672b3aad154d54bc7a,0,nature of dying o'er the flood looming shadow of a tree long gone breakcore marathon featured artist,-1,9.66958,395060,26912,1960,1093,1,4537,1,0,0,0,246397,SA19
357638,1,2014-01-19 20:55:33,2015-01-11 21:01:44,2015-01-04 20:24:11,OctagonCollaboration,143844,180,Leader,631530,5.62311,2.71018,2.71912,4,8,9,6,459,,7,2,8 Awesome Angles of YouTube,473,Marathon,a292955645d1f9702211fc065d69200c,0,-kevincela- blue dragon kyshiro rlc irreversible cheesiest chewin sayaka- dialgadu77 _gezo_ kinomicandy darkdunskin tks tksalt stefan thenutritiousguy tng xwillx jack black octagon sesame street bloomin' feeling captain jack (grandale remix) time to air almagest masked dedede cave story overworld theme elmo's world opening song star maze dou iu koto nano!? 5way demon tale sonata marisa stole the precious thing wa taihen na mono wo nusunde ikimashita butterfly wonderboy ryu* seiryu galdeira jun ishikawa koji kondo daisuke amaya kevin clash kazumi totaka kuchibashi-p tetsuo honeybee zun iosys smile.dk tenacious d kirby super mario bros. land 2 hatsune miku vocaloid star soldier touhou koishi komeiji alice margatroid marisa kirisame noma dkcplayer dpritch16 geturenanoka7 kapaog kinkyoats kj negaman xlovesmiku matrixmariox menorahonfire mowtendoo sgtscrubnoob stuff3 svaugra tukaari22 wehesomushi,-1,9.66609,485501,30508,1200,782,4,2952,0,1,0,0,357638,SA17
425916,1,2014-01-17 06:38:39,2014-09-16 04:42:14,2014-09-09 04:06:01,Duca,143216,159,Natsu,1953876,5.22511,2.42364,2.57143,4,7,9,7,688,,2,3,Songs Compilation,785,Marathon,5977997038dae4ec46b681c22b6f3966,0,kodora kshr gero xinely kantokun p a n p_a_n ai no niwa revolution ironna katachi niflheimr snow wish shiawase teigi shiawase no otoshimono kokoro no tane kanransha ~ anohi to kinou to kyou to ashita to ~ futari iro clover amaoto welcome berry's cold butterfly ashita tenkini naare full throttle heart xxcrystalmoonanimexx garden koiiro soramoyou kono oozora ni tsubasa wo hirogete flight diary imouto no kouyoku no soleil -vii's world- duelist x engage kanojo to ore to koibito to. your diary+ cafe sourire dandelion koiiro soramoyou your diary amesarasa ~ame to fushigi na kimi ni koi wo suru~ sei shoujo ~seido ikusei gakuen~ nettai teikiatsu shoujo koiiro soramoyou after happiness and extra hearts hentai eroge visual novel kanari airi,-1,9.44681,67165,6339,1284,866,15,3488,1,0,0,0,425916,SA15
427090,1,2014-05-22 03:07:17,2014-10-19 18:01:04,2014-10-08 00:10:57,Yooh,177444,192,ktgster,53378,6.5349,2.99579,3.24797,5,8.5,9,6,303,,10,5,salvation,310,Redemption,34779187f2e6420145ec42013d430a0a,0,voltage ignition 2,-1,9.4221,246574,14007,1319,396,3,2178,0,0,0,0,427090,SA15
427586,1,2014-05-23 01:46:55,2014-10-12 02:40:42,2014-10-05 01:22:03,Utagumi Setsugetsuka,177663,145,jonathanlfj,270377,5.41913,2.7694,2.51988,4,8,9.2,6,314,機巧少女は傷つかない,3,3,Maware! Setsugetsuka chiptune Remix,317,MawareXtrA,bae9fc15ae2a906cda74999bbaeb4fdb,0,machine doll wa kizutsukanai 夜々 yaya 原田ひとみ harada hitomi いろり irori 茅野愛衣 kayano ai 小紫 komurasaki 小倉唯 ogura yui unbreakable kikou shoujo setsugekka ed ending,-1,9.55455,244444,28932,666,666,2,2167,0,0,0,0,427586,SA15
450766,1,2014-07-02 01:31:31,2014-10-26 07:40:42,2014-10-19 03:42:49,u's,189216,210,Hinsvar,1249323,6.23268,3.17312,2.76532,4,8.5,9.3,7,307,Love Live! School idol project,3,3,Bokura no LIVE Kimi to no LIFE,317,Affection,7ca9f27748b230a912d1bcfb798b8d17,0,ラブライブ! 1st season insert song best album collection xinely 高坂穂乃果 kousaka honoka 園田海未 sonoda umi 南ことり minami kotori 矢澤にこ yazawa niko nico 絢瀬絵里 ayase eri eli 東條希 toujou nozomi 西木野真姫 nishikino maki 小泉花陽 koizumi hanayo 星空凛 hoshizora rin 新田恵海 nitta emi 三森すずこ mimori suzuko 内田彩 uchida aya 徳井青空 tokui sora 南條愛乃 nanjou yoshino 楠田亜衣奈 kusuda aina 堀絵梨子 hori eriko pile 久保ユリカ kubo yurika 飯田里穂 iida riho muse,-1,9.70879,654339,39601,618,656,0,2158,1,0,0,0,450766,SA15
477346,1,2014-05-22 03:07:17,2014-10-19 18:01:04,2014-10-08 00:10:57,Yooh,177444,192,ktgster,53378,5.63935,2.4408,2.93472,4.5,7,8.5,5,303,,10,5,salvation,310,Another,914cc01c9216e7e09dc757cc0d4ba8c3,0,voltage ignition 2,-1,9.4221,226648,26081,818,459,3,1921,0,0,0,0,477346,SA15
494368,1,2014-09-06 04:20:56,2014-11-25 02:40:38,2014-11-17 23:38:17,Kuraki Mai,210114,98,Xinely,1521445,4.20852,2.09987,1.92135,4,7,8.3,7,328,名探偵コナン,3,3,Your Best Friend,347,Together,a9a437dd260786433b75aa464accb488,0,hinely collab collaboration marathon 40th 40 ending hinsvar detective conan mai-k meitantei konan,-1,9.44099,115496,11337,552,400,0,1424,0,0,0,0,494368,SA16
